train,validation,test
7.169700836040100445e-01,6.536485615928087078e-01,6.653658982548019685e-01
7.307617530275782869e-01,6.470265694702890258e-01,6.737168032518586758e-01
7.346881343092185324e-01,6.477235858330375740e-01,6.548319981120516164e-01
7.069555879212978677e-01,6.345882821788120243e-01,6.880793961183837570e-01
7.543266924486378144e-01,7.014207030445410718e-01,6.795506405939760741e-01
7.487827099780166584e-01,6.274989152474308440e-01,6.328748262149641590e-01
7.524747889434793002e-01,6.470219113645370168e-01,6.921566059811262717e-01
7.258673896405967163e-01,6.604851912007506654e-01,6.372349218634687507e-01
7.264612772936102081e-01,6.407047657815401198e-01,7.003028710144389990e-01
7.342211777882683421e-01,6.944468261005679599e-01,6.845567949945586816e-01
7.529608759800148210e-01,7.028549686127941731e-01,6.842513767798691360e-01
7.678554574693277068e-01,7.087480829177802422e-01,7.087758021450407675e-01
7.670573835001697205e-01,6.488944899026279911e-01,6.748522400078502681e-01
7.489872377709730911e-01,7.016077035639288750e-01,6.611607771235655795e-01
7.696754886377867866e-01,6.658518981218382038e-01,7.110154241691751809e-01
7.495309088532344788e-01,6.639652033806838771e-01,6.950398415523239004e-01
7.497532179327728308e-01,6.925405657689442940e-01,6.782591494971013102e-01
7.854029813512465319e-01,6.898638539619446064e-01,7.115376314821035830e-01
7.775058438955435580e-01,7.005799409347619466e-01,7.014131593518095897e-01
7.927955952140521845e-01,6.908898450693697901e-01,6.864894567021940786e-01
7.922918846520781155e-01,7.299847991695704863e-01,7.167204917617367999e-01
8.077005452251830864e-01,7.279143296793137985e-01,7.104473147201665340e-01
7.895075921497407556e-01,7.194696069491176571e-01,7.114043899372586299e-01
7.897492520525872806e-01,7.003322728434474564e-01,7.101989141354135837e-01
7.573694531826655751e-01,7.217781203448264682e-01,7.217681916967736422e-01
7.672260355950429878e-01,7.007808297468817171e-01,7.125250986354227933e-01
8.037860323571806020e-01,7.060414834051430555e-01,7.128067610661616982e-01
8.008893281558031596e-01,7.297609285921008437e-01,7.086896365667619824e-01
8.236179302878314790e-01,6.532321128425581103e-01,7.266537721140382544e-01
8.118608794372518256e-01,7.403685129038544144e-01,7.305183611737905425e-01
8.066672179003483434e-01,7.084520746860119012e-01,7.386561086817584609e-01
8.200592074122194930e-01,7.556524632221012228e-01,7.340989035076873614e-01
8.199317345101124754e-01,7.361947848801672079e-01,7.612560311721381368e-01
7.730193968672799398e-01,7.317890463548631930e-01,7.192444104482209610e-01
8.335606235738542980e-01,7.583537761942682476e-01,7.598627455837837497e-01
8.273226251748990734e-01,7.702850364134806727e-01,7.718739720560545692e-01
8.354923651455036238e-01,7.633463813845265955e-01,7.518530040589217478e-01
8.439156860223231416e-01,7.733189371414588287e-01,7.531078362130328996e-01
8.334219719364821533e-01,7.934122660192103327e-01,7.516610878402337770e-01
8.525427528561796420e-01,7.686309414860399425e-01,7.506894133432351346e-01
8.524306417474754038e-01,8.051921660293380745e-01,7.758264375580423700e-01
8.384361693476073407e-01,7.525074702455419873e-01,7.435179190876599620e-01
8.058629268710169047e-01,7.698106746393291733e-01,7.423451087081648359e-01
8.457062339508751858e-01,7.637842985517687699e-01,7.403969715351684799e-01
8.489562586187663351e-01,7.636020741424000002e-01,7.734816012569971644e-01
8.384236600869222622e-01,7.833752287335197240e-01,7.925093421583438991e-01
8.568237287902881194e-01,8.052162514803408166e-01,7.847743582395503292e-01
8.582730581093130917e-01,7.992673438973637579e-01,7.871354474761623754e-01
8.679720883132837628e-01,8.079765709560311482e-01,7.906317175366662786e-01
8.728566497509235855e-01,7.911352561838831399e-01,7.981077464302128721e-01
8.726910572093758978e-01,7.830486155147633465e-01,7.510821633594745306e-01
8.623250796161775478e-01,8.216335731691959410e-01,8.075278670869645570e-01
8.596952339148817845e-01,7.914103202598863351e-01,7.729578775644586619e-01
8.831380370446688666e-01,8.031823249706969703e-01,8.208007430429831164e-01
8.831326176407591211e-01,8.020000833432466836e-01,8.314673304022001110e-01
8.860248397170776835e-01,8.159137039865529406e-01,8.077750712608614547e-01
8.853546173163032718e-01,8.134347219145506847e-01,8.103333236143577256e-01
8.763646034112230199e-01,7.961033898584763957e-01,7.793008781164380006e-01
8.777758026157534976e-01,8.158318909459122414e-01,8.022397329155224188e-01
8.515637653255326844e-01,8.060023753645318978e-01,7.984766810908920931e-01
8.672977764544868018e-01,7.987955391960092077e-01,7.767446109791151798e-01
8.562171445680105686e-01,8.244182034850328078e-01,7.921341584762795485e-01
8.874718640941587910e-01,8.414716197371399087e-01,8.243750759443894127e-01
8.979956451853760013e-01,8.313767864378235339e-01,8.191444578091008344e-01
8.842479755946820452e-01,8.358880064333731319e-01,8.130424391791951644e-01
8.858008238679448976e-01,7.966045455083279325e-01,7.947482972274438895e-01
8.804212877840211782e-01,8.483084651818701971e-01,8.074242856542561686e-01
8.697502962203660370e-01,7.997172031311393647e-01,8.102977977711960378e-01
8.825566237450678253e-01,8.264340683387043640e-01,7.994252118949515262e-01
8.787586029871541360e-01,8.454248274958643394e-01,8.149034405235280332e-01
8.855063462531777008e-01,8.120209890834738653e-01,8.320248816263391411e-01
9.052750748805391545e-01,8.457081904863050781e-01,8.455125715958770050e-01
8.862534818571022877e-01,8.639166471026326066e-01,8.208471952660123527e-01
8.859667468785638045e-01,8.455264045334093259e-01,8.209043116667091855e-01
8.876855026062948628e-01,8.337854469856833539e-01,8.334735613309813829e-01
8.899963979446028350e-01,8.406140502647519996e-01,8.167868058875382697e-01
8.920974978065658867e-01,8.556200764454636731e-01,8.306084489469129917e-01
8.928595953692685105e-01,8.473150178171852120e-01,8.320764633629865736e-01
9.002087345987365152e-01,8.568041222229328957e-01,8.185417849583789263e-01
9.130758911709698777e-01,8.507308064452351326e-01,8.499409328093603389e-01
8.987841702816719014e-01,8.486860600584105185e-01,7.984234662994118548e-01
8.892322466555828697e-01,8.377460043467997997e-01,8.405705022042864183e-01
8.997691611918692267e-01,8.555581313016642486e-01,8.206064109000283935e-01
9.057184088512146847e-01,8.433448584038594209e-01,8.171936873799883205e-01
9.180106252968270875e-01,8.727225632273751810e-01,8.523670760000258140e-01
9.460262502218744762e-01,8.792016691627840830e-01,8.657209125759646184e-01
9.489930880825683257e-01,8.893556099161155082e-01,8.713285262979851842e-01
9.526083338750306329e-01,8.864138670390532271e-01,8.806121528180358426e-01
9.526559806307582923e-01,8.938900233029383191e-01,8.751401627941053363e-01
9.559462864339013377e-01,8.937697464547169623e-01,8.790650834533826341e-01
