param_set,fold,iteration,pearson
3,1,620,0.5662576531347127
3,1,640,0.5670952742419599
3,1,660,0.5687970358284843
3,1,680,0.5693897147121761
3,1,700,0.5685477067924897
3,1,720,0.5690282519682418
3,2,0,0.3784069052336934
3,2,20,0.5648890911232619
3,2,40,0.5655733516107035
3,2,60,0.5651181453623411
3,2,80,0.5626746027985857
3,2,100,0.5634676605386767
3,2,120,0.5648062834634313
3,2,140,0.5675521158149199
3,2,160,0.5759715567385705
3,2,180,0.5743455755386648
3,2,200,0.5753685788246576
3,2,220,0.5762873764918088
3,2,240,0.5815015525470137
3,2,260,0.579590720907087
3,2,280,0.5825130075813496
3,2,300,0.5849164172640383
3,2,320,0.5871153795993429
3,2,340,0.5891569368471363
3,2,360,0.5876419342422874
3,2,380,0.5879719038351647
3,2,400,0.5857950877378704
3,2,420,0.5834798525537471
3,2,440,0.5841710390813915
3,2,460,0.5851096053261154
3,2,480,0.5847846494954131
3,2,500,0.5880519100322353
3,2,520,0.5857925931815877
3,2,540,0.5852129465724372
3,2,560,0.5855883100107285
3,2,580,0.5850337405239303
3,2,600,0.5833981704110616
3,2,620,0.5829310917346483
3,2,640,0.5832288605352665
3,2,660,0.5836805567275208
3,2,680,0.5836489397851341
3,2,700,0.582960934582133
3,2,720,0.5840319438117912
3,2,740,0.5840561859373192
3,2,760,0.5843044508280221
3,2,780,0.5834479039829885
3,2,800,0.5836333167437956
3,2,820,0.5832092930199733
3,2,840,0.5832113087190718
3,2,860,0.5823652731798356
3,3,0,0.40804288552627493
3,3,20,0.56541233425384
3,3,40,0.5654640921677381
3,3,60,0.5632412245715572
3,3,80,0.5548360246911914
3,3,100,0.5595869204766301
3,3,120,0.5640504797140214
3,3,140,0.5691596643925892
3,3,160,0.5718847153121576
3,3,180,0.5706517465420434
3,3,200,0.5654776877182688
3,3,220,0.569500014741531
3,3,240,0.5672234189691885
3,3,260,0.5695448634745293
3,3,280,0.5688256003541446
3,3,300,0.5683210881149848
3,3,320,0.5719282936806089
3,3,340,0.5737452427540697
3,3,360,0.5747801763770285
3,3,380,0.5773571912867455
3,3,400,0.5790389276943898
3,3,420,0.5804421219447896
3,3,440,0.5796827614933999
3,3,460,0.5809223002033038
3,3,480,0.5803125015597149
3,3,500,0.5795270629600955
3,3,520,0.5785911074785188
3,3,540,0.5787435956568785
3,3,560,0.5782898133070451
3,3,580,0.5769331411036676
3,3,600,0.5760835719276404
3,3,620,0.5769851162986381
3,3,640,0.5782857962930842
3,3,660,0.5791281881348876
3,3,680,0.5804141892554696
3,3,700,0.5817894572126683
3,3,720,0.5818339514577069
3,3,740,0.5815788453867752
3,3,760,0.5809644130859755
3,4,0,0.30835074747371455
3,4,20,0.553807071590272
3,4,40,0.5443881705202533
3,4,60,0.5416456318407122
3,4,80,0.5353273155153798
3,4,100,0.5360520547611367
3,4,120,0.5417789750048801
3,4,140,0.5434941872906721
3,4,160,0.551993077934274
3,4,180,0.5535282847941017
3,4,200,0.5517187432895544
3,4,220,0.5501202835551543
3,4,240,0.5521669217774983
3,4,260,0.553698723976631
3,4,280,0.5606744241603653
3,4,300,0.5671145500349536
3,4,320,0.569468227651024
3,4,340,0.5713584844338891
3,4,360,0.5727372465457721
3,4,380,0.5764700230402907
3,4,400,0.57635819837864
3,4,420,0.5762618250929112
3,4,440,0.5772148979221308
3,4,460,0.5770357327071092
3,4,480,0.5802264672287138
3,4,500,0.5805288220543254
3,4,520,0.5818437611066972
3,4,540,0.5842287179733281
3,4,560,0.5849428053139809
3,4,580,0.5848191498359092
3,4,600,0.5847136780720503
3,4,620,0.584873496932011
3,4,640,0.5844158572370802
3,4,660,0.5838970672516759
3,4,680,0.5840440478503034
3,4,700,0.58468295786636
